Year,Suicide/100k population,Percentage,Generation
2012,17.31323529,35.21982098,Silent
2012,8.744411765,17.78850756,Millenials
2012,0.59,1.20022018,Generation Z
2012,11.01,22.39732912,Generation X
2012,11.5,23.39412215,Boomers
2013,17.99058824,36.80949845,Silent
2013,8.409852941,17.20691201,Millenials
2013,0.707647059,1.447875577,Generation Z
2013,10.65676471,21.80418777,Generation X
2013,11.11,22.7315262,Boomers
2014,17.99058824,36.80949845,Silent
2014,8.409852941,17.20691201,Millenials
2014,0.707647059,1.447875577,Generation Z
2014,10.65676471,21.80418777,Generation X
2014,11.11,22.7315262,Boomers
